Date,Stocks Sold
2017-04-09,96
2018-07-05,175
2021-06-06,9
2019-01-01,6
2015-09-30,89
2017-01-02,18
2019-04-27,174
2017-08-10,4
2021-03-01,73
2017-03-08,160
2021-01-26,107
2017-01-23,90
2016-07-21,17
2020-01-15,90
2021-04-11,41
2016-11-22,67
2018-01-08,36
2015-01-17,39
2015-03-02,53
2016-08-24,67
2016-07-20,1
2021-03-10,47
2017-04-08,77
2020-10-01,143
2020-01-09,50
2016-11-05,172
2015-02-02,15
2016-09-17,61
2015-01-04,114
2016-04-30,48
2017-06-01,21
2019-09-04,10
2018-07-23,42
2019-05-17,6
2015-12-22,2
2017-06-22,26
2016-12-05,154
2019-01-19,33
2021-06-29,114
2016-06-16,85
2019-07-15,21
2016-10-24,34
2018-01-22,33
2016-02-29,29
2018-12-02,120
2015-06-16,6
2020-05-31,4
2021-02-28,24
2019-03-10,4
2019-06-13,34
2018-12-18,86
2018-08-13,134
2017-04-13,44
2016-11-24,125
2018-03-25,9
2021-07-04,164
2017-03-05,6
2019-04-26,11
2017-08-16,10
2017-08-02,12
2019-04-27,8
2019-01-11,26
2015-06-23,39
2019-08-05,59
2018-11-07,24
2017-05-25,35
2015-10-22,199
2015-08-13,75
2015-08-02,29
2019-02-25,2
2017-07-04,153
2015-08-02,32
2020-07-06,13
2020-10-23,41
2017-01-26,147
2016-01-17,9
2021-03-27,3
2019-10-11,52
2017-10-26,1
2018-11-22,1
2016-06-15,1
2016-10-31,1
2018-10-13,143
2018-12-02,58
2017-09-07,13
2019-03-07,9
2017-12-06,108
2015-04-18,161
2015-02-25,2
2019-01-15,81
2016-03-29,37
2018-04-18,25
2015-01-14,32
2019-10-05,2
2021-04-02,3
2018-05-30,52
2020-12-10,28
2020-03-17,72
2015-06-15,66
2017-06-09,26
2017-07-23,55
2017-07-22,8
2018-12-14,165
2018-10-23,8
2018-12-05,117
2017-04-10,34
2021-05-08,4
2019-04-18,77
2015-03-13,144
2021-02-14,119
2018-11-13,86
2021-04-28,8
2018-12-25,178
2018-09-11,87
2019-11-26,72
2015-10-24,11
2020-06-03,16
2017-01-25,1
2017-11-10,91
2018-06-02,78
2020-09-30,23
2019-12-07,4
2021-01-30,40
2020-04-30,36
2019-01-29,140
2020-03-29,5
2020-03-02,33
2015-02-05,175
2019-01-14,81
2021-06-27,24
2016-06-12,14
2021-04-27,23
2018-04-05,1
2016-01-28,60
2015-09-03,78
2015-12-22,91
2015-06-14,193
2016-05-06,108
2020-07-14,36
2019-04-13,14
2019-10-03,35
2016-08-17,50
2016-05-18,23
2015-08-04,130
2019-09-01,82
2017-10-26,164
2015-07-20,4
2015-10-17,145
2018-04-28,172
2018-05-14,11
2020-08-13,74
2017-04-23,66
2021-04-19,116
2020-07-03,39
2019-04-02,45
2020-01-07,110
2017-05-09,90
2020-11-11,158
2015-01-30,43
2020-10-30,28
2019-01-06,60
2021-04-19,8
2015-02-17,17
2017-06-04,101
2017-08-04,102
2017-03-22,11
2016-01-14,10
2020-03-16,35
2016-02-21,2
2021-02-18,57
2021-02-26,73
2021-02-06,50
2018-01-06,3
2015-11-17,82
2021-02-26,71
2018-04-07,39
2020-02-16,71
2015-08-09,13
2016-06-04,71
2018-10-22,6
2019-04-02,55
2018-09-03,32
2018-02-16,166
2018-09-03,29
2018-05-24,34
2017-06-22,5
2021-03-03,4
2016-04-30,21
2019-08-31,47
2017-06-23,53
2018-02-15,23
2021-06-13,101
2017-07-19,36
2015-04-13,26
2019-11-07,96
2017-08-07,21
2018-12-28,22
2019-05-09,110
2017-07-04,33
2020-04-08,60
2020-04-09,51
2016-02-19,1
2020-05-27,39
2021-03-21,152
2016-05-20,30
2020-10-24,12
2019-06-03,17
2015-09-13,20
2020-03-26,5
2018-11-22,11
2017-01-25,7
2017-08-24,2
2017-08-30,50
2019-05-24,75
2015-07-25,114
2019-01-29,172
2015-11-01,51
2019-08-17,59
2021-03-02,71
2021-04-24,12
2019-12-12,13
2016-04-22,4
2018-10-27,8
2021-03-22,149
2018-12-03,17
2017-08-06,15
2017-10-07,14
2016-07-11,62
2016-10-24,6
2017-11-06,84
2021-04-29,31
2020-06-16,68
2018-11-07,88
2019-03-11,97
2017-05-03,36
2015-08-10,6
2019-08-07,6
2016-04-19,50
2019-11-19,45
2015-01-23,52
2018-03-09,19
2015-03-15,35
2019-07-31,80
2020-07-08,26
2018-10-22,3
2020-11-25,80
2015-02-28,9
2020-12-16,9
2017-08-02,8
2018-05-30,26
2015-03-10,117
2017-05-19,21
2021-01-20,27
2018-03-13,40
2016-12-18,57
2015-10-03,1
2017-09-26,77
2015-11-13,88
2017-10-10,119
2015-10-25,55
2018-10-27,47
2017-11-02,10
2020-06-27,28
2016-12-20,1
2015-12-14,173
2019-11-03,13
2016-10-04,130
2017-03-03,111
2019-07-23,34
2020-07-12,140
2019-12-06,80
2017-01-31,44
2015-02-14,50
2020-08-19,33
2016-02-29,92
2015-04-05,23
2018-03-20,19
2016-08-11,114
2018-03-18,18
2016-05-21,37
2017-08-30,123
2020-02-12,112
2015-03-10,40
2019-03-01,4
2017-08-23,76
2020-03-13,160
2019-05-17,84
2016-09-09,29
2018-12-05,80
2016-10-30,8
2019-05-11,26
2016-03-20,106
2018-05-14,89
2016-10-14,105
2015-08-15,73
2020-06-27,16
2016-08-24,107
2018-09-29,98
2016-06-13,11
2016-08-12,20
2015-05-05,71
2017-11-16,60
2018-06-13,31
2021-05-11,104
2017-01-27,23
2020-06-24,1
2018-04-21,5
2017-10-22,6
2015-04-16,20
2018-04-08,9
2021-01-12,95
2018-01-04,106
2018-02-20,138
2018-06-16,48
2018-01-31,80
2015-08-02,2
2015-06-10,72
2020-08-18,17
2017-04-19,8
2019-09-21,128
2016-12-03,1
2016-04-23,6
2019-03-10,49
2018-05-01,4
2015-03-03,39
2020-07-27,7
2019-08-29,16
2019-08-08,58
2020-08-19,56
2018-04-20,139
2019-03-07,22
2021-03-04,20
2020-03-10,141
2016-03-09,122
2018-08-20,38
2020-09-12,64
2016-01-02,166
2017-07-26,3
2019-07-16,21
2017-03-14,70
2018-02-15,101
2017-03-29,72
2017-10-01,9
2019-02-13,20
2016-06-11,7
2019-05-19,46
2019-06-01,111
2018-11-06,71
2016-08-15,98
2019-07-29,84
2016-04-30,10
2016-10-26,35
2020-05-23,144
2018-08-17,32
2019-08-14,24
2015-11-23,62
2017-12-15,125
2018-07-17,74
2015-06-20,184
2016-11-12,161
2017-04-17,178
2018-05-07,76
2019-06-05,75
2018-10-19,1
2017-05-14,97
2016-07-17,26
2019-07-06,23
2016-08-15,7
2020-12-17,8
2017-06-03,7
2019-09-24,32
2018-03-22,84
2018-11-28,170
2018-08-10,1
2019-09-26,123
2019-11-17,1
2019-01-29,18
2015-03-23,10
2020-01-01,17
2017-09-22,24
2018-05-25,2
2018-05-16,15
2018-05-11,64
2018-11-17,20
2016-05-08,36
2016-08-01,17
2021-04-14,38
2020-04-26,39
2015-03-22,14
2017-03-10,124
2015-11-29,170
2015-07-08,83
2017-12-06,86
2020-10-08,37
2015-05-01,32
2019-04-01,85
2015-10-19,1
2015-02-22,23
2015-03-16,52
2017-04-09,48
2019-01-04,66
2015-08-02,27
2015-03-31,73
2018-12-21,21
2015-06-19,16
2015-10-15,35
2016-10-05,22
2019-05-25,64
2018-02-27,122
2019-11-17,73
2019-12-22,12
2018-07-24,65
2018-01-03,22
2018-06-05,65
2016-01-05,10
2021-02-21,104
2015-01-28,80
2020-10-26,10
2020-09-27,111
2015-01-17,33
2015-04-07,50
2020-06-10,113
2019-12-26,54
2021-07-03,60
2018-01-06,22
2020-10-26,16
2017-12-22,3
2018-01-19,54
2015-05-24,128
2016-07-15,23
2016-02-01,131
2015-02-22,159
2017-12-06,112
2017-07-28,16
2019-05-13,20
2016-02-23,88
2020-12-09,50
2015-02-16,193
2017-12-12,52
2017-10-04,82
2021-03-19,5
2019-11-26,108
2021-03-15,102
2018-03-04,15
2018-04-30,75
2018-08-19,59
2018-11-28,16
2016-02-28,96
2017-11-26,10
2018-03-05,140
2020-09-15,2
2018-08-25,46
2016-11-11,12
2017-03-09,2
2019-02-01,11
2016-10-31,90
2018-03-20,108
2016-06-20,68
2017-01-14,66
2018-07-12,107
2015-09-24,17
2016-06-06,118
2017-10-08,46
2016-08-17,34
2019-06-07,178
2016-09-15,132
2019-09-23,10
2018-01-19,19
2018-03-13,21
2017-03-01,86
2018-10-28,20
2018-07-17,22
2018-04-08,21
2019-01-07,42
2018-06-14,5
2016-08-11,109
2019-02-27,5
2020-04-03,62
2017-05-08,58
2016-09-29,41
2017-06-19,15
2017-05-16,95
2016-10-08,25
2020-05-05,45
2016-10-11,101
2016-11-13,61
2017-08-31,68
2017-11-30,30
2021-04-06,29
2018-12-09,44
2015-06-23,93
2016-08-26,10
2020-04-21,12
2018-01-17,123
2018-01-22,46
2019-06-18,22
2015-06-20,64
2016-04-28,132
2016-06-08,20
2015-10-15,8
2017-05-25,19
2016-07-20,2
2018-03-30,8
2019-12-10,5
2021-04-11,41
2017-08-17,123
2020-08-16,43
2015-11-14,111
2020-04-21,59
2016-03-04,105
2016-05-09,2
2016-06-16,72
2019-03-28,179
2020-01-09,23
2016-11-08,67
2016-03-29,8
2019-07-21,116
2015-12-26,18
2017-07-10,103
2018-12-06,8
2020-07-05,37
2017-09-05,29
2021-05-20,160
2015-01-29,36
2019-09-30,49
2020-10-01,35
2019-12-25,37
2015-01-02,1
2017-02-13,3
2021-07-02,17
2016-11-03,10
2018-02-05,86
2017-07-03,152
2020-12-06,162
2018-12-13,18
2015-12-24,90
2019-10-27,86
2020-05-19,185
2015-06-12,3
2017-02-15,20
2021-04-04,11
2017-10-18,42
2017-09-02,37
2019-01-16,16
2019-08-27,4
2017-12-08,115
2020-06-04,144
2021-03-02,13
2020-02-22,25
2020-05-06,3
2017-10-13,131
2017-06-29,144
2020-12-31,2
2017-09-11,37
2020-01-30,57
2021-03-19,35
2019-01-06,52
2016-02-16,27
2019-09-28,3
2020-05-29,28
2017-11-13,154
2018-06-13,89
2017-08-22,63
2015-07-25,70
2016-08-04,119
2018-03-06,93
2016-12-13,62
2019-10-03,65
2017-04-15,72
2018-08-28,46
2017-03-20,14
2016-10-01,26
2018-05-26,130
2020-02-19,63
2020-03-27,75
2021-04-26,83
2019-11-01,8
2015-10-08,34
2016-05-06,148
2018-05-19,178
2015-09-04,72
2019-04-25,6
2019-12-25,80
2015-12-16,20
2020-10-02,29
2018-04-17,61
2018-01-05,66
2019-06-05,12
2017-01-24,86
2018-11-18,76
2019-02-13,16
2017-06-02,68
2020-12-29,36
2021-06-01,3
2016-10-23,11
2016-10-14,5
2017-10-11,164
2016-02-21,38
2018-10-24,126
2020-03-16,24
2015-06-03,68
2021-03-12,8
2015-10-16,17
2015-03-13,49
2015-02-27,12
2019-09-09,10
2016-10-31,3
2019-09-20,150
2020-06-11,31
2020-07-14,146
2017-12-15,171
2021-05-30,2
2020-05-25,18
2019-05-09,75
2017-05-31,150
2015-10-18,1
2019-08-11,75
2021-03-08,19
2021-01-26,7
2020-12-12,2
2020-04-11,17
2015-01-28,1
2021-04-20,48
2017-08-05,52
2017-10-31,34
2017-02-27,90
2018-02-23,5
2016-02-23,5
2020-03-04,2
2020-08-05,5
2017-01-10,8
2019-05-10,3
2018-05-08,86
2016-07-30,3
2020-05-03,49
2015-07-21,131
2015-07-22,9
2019-12-10,110
2021-03-03,31
2017-06-20,40
2016-09-25,85
2016-01-07,7
2020-08-10,19
2018-04-09,101
2016-10-31,104
2016-09-03,48
2015-06-28,58
2021-07-06,42
2021-05-17,114
2020-12-30,40
2015-05-23,78
2020-10-01,29
2020-02-05,30
2021-06-17,124
2018-09-01,56
2016-08-09,59
2015-08-09,1
2021-01-06,40
2017-11-21,1
2019-06-25,27
2017-11-13,1
2015-10-05,181
2020-03-12,66
2021-01-14,118
2019-12-14,102
2017-02-16,12
2019-01-19,1
2018-02-19,24
2019-02-14,25
2018-02-01,91
2016-06-20,42
2017-07-18,1
2019-04-25,4
2018-06-18,53
2016-01-20,64
2018-03-07,13
2021-04-18,28
2016-06-09,143
2020-10-22,13
2015-02-24,11
2018-08-24,72
2015-11-26,122
2016-10-24,151
2019-04-19,35
2021-05-15,27
2015-01-08,6
2021-04-28,10
2016-12-27,159
2019-10-14,1
2020-10-12,1
2021-04-05,172
2015-07-21,8
2018-12-29,11
2021-05-12,2
2017-06-02,50
2015-12-13,58
2018-04-20,29
2020-08-01,70
2020-11-02,37
2020-05-26,20
2016-09-25,13
2016-05-03,2
2019-04-23,31
2019-12-09,69
2015-05-24,53
2017-11-30,7
2020-09-04,5
2020-09-10,97
2021-06-11,23
2019-02-26,36
2019-07-28,56
2015-01-31,45
2019-10-18,8
2020-06-23,112
2018-05-08,84
2018-04-07,43
2018-10-11,59
2015-08-31,81
2020-04-27,9
2019-08-09,21
2018-12-23,24
2019-10-19,113
2015-01-14,63
2021-06-13,58
2017-02-26,27
2015-04-13,102
2019-05-15,79
2015-06-23,64
2017-05-14,45
2020-04-07,45
2018-09-29,138
2018-04-09,2
2017-02-24,111
2018-11-10,24
2020-10-08,122
2018-09-29,118
2015-08-28,61
2018-09-10,49
2016-08-15,16
2018-09-30,82
2018-07-09,29
2018-02-17,58
2019-11-04,95
2018-04-09,87
2018-09-12,8
2021-06-26,7
2021-04-02,125
2016-12-03,96
2015-05-17,17
2016-09-07,139
2017-04-09,5
2020-01-08,51
2021-02-04,39
2017-05-03,98
2019-12-29,26
2019-06-22,117
2015-07-10,44
2020-02-11,24
2021-06-21,102
2017-05-02,169
2017-06-17,30
2017-12-23,15
2018-02-24,68
2016-07-26,76
2016-03-19,67
2018-01-20,11
2021-06-23,46
2020-11-30,21
2020-05-08,5
2016-05-12,76
2016-10-16,22
2018-08-07,33
2019-09-02,3
2018-08-26,19
2017-07-30,106
2019-04-25,1
2016-08-20,4
2018-01-21,9
2015-07-12,32
2015-08-23,111
2016-12-01,103
2018-09-27,114
2016-09-04,35
2015-03-27,35
2017-10-09,133
2017-10-03,3
2020-07-23,24
2018-06-08,32
2017-11-10,81
2020-09-05,1
2017-02-27,10
2018-05-27,27
2021-06-20,110
2015-02-21,58
2018-09-25,124
2019-04-26,146
2016-03-26,42
2021-06-02,6
2015-01-22,39
2019-02-21,4
2020-08-21,4
2020-08-18,34
2016-10-11,7
2018-05-17,39
2019-10-19,12
2019-08-20,3
2020-06-14,1
2015-05-12,22
2020-01-24,29
2016-02-01,74
2019-04-30,10
2018-09-11,31
2015-02-23,18
2015-01-24,163
2017-04-14,41
2018-08-03,76
2018-05-03,11
2018-07-25,96
2018-03-18,78
2015-10-26,27
2017-01-02,10
2020-07-07,32
2019-06-25,19
2021-03-31,90
2018-06-07,13
2015-11-14,59
2020-12-03,30
2018-12-20,14
2019-10-20,20
2018-07-05,20
2017-08-30,40
2018-10-22,3
2018-05-29,118
2016-07-29,14
2019-12-16,41
2020-10-12,1
2015-11-15,42
2017-06-27,170
2019-05-12,2
2018-08-19,38
2018-05-05,10
2020-03-24,119
2018-11-13,9
2017-02-15,1
2015-01-31,58
2017-06-23,2
2015-10-05,10
2020-01-12,28
2020-02-14,93
2020-01-19,46
2018-07-05,62
2015-08-20,146
2016-09-22,23
2019-12-16,84
2015-09-12,90
2016-08-15,25
2020-07-21,36
2020-10-21,92
2020-12-14,30
2015-12-06,14
2019-05-10,2
2018-02-20,3
2015-05-14,2
2016-06-11,130
2016-10-05,7
2017-06-07,31
2020-12-26,47
2015-09-19,152
2016-03-27,56
2020-06-18,46
2021-01-24,150
2015-08-27,59
2019-07-08,11
2016-01-23,41
2020-10-22,5
2015-04-25,29
2019-01-03,1
2021-01-27,6
2017-09-22,14
2015-02-12,7
2016-07-03,8
2019-10-31,20
2015-12-23,39
2021-01-26,5
2015-05-23,64
2017-11-21,126
2021-04-21,15
2015-02-13,53
2015-05-04,1
2020-03-10,7
2016-03-19,6
2019-08-08,42
2017-04-20,36
2021-03-23,96
2020-03-16,18
2016-04-20,2
2019-12-23,40
2019-09-08,11
2017-07-19,30
2016-10-15,21
2016-03-26,114
2019-06-05,150
2015-06-21,98
2017-06-04,1
2019-09-09,145
2015-12-11,5
2018-04-12,89
2017-01-25,5
2016-07-18,71
2016-11-24,40
2016-02-01,65
2017-10-18,114
2018-01-23,43
2020-08-18,15
2018-09-23,10
2015-11-25,14
2015-12-26,66
2021-02-21,101
2018-11-08,40
2019-08-02,10
2018-01-17,106
2018-02-15,94
2018-05-23,7
2020-06-06,99
2016-09-08,61
2015-01-24,6
2015-08-30,85
2015-02-15,45
2017-09-04,1
2020-11-23,163
2018-02-28,76
2015-10-01,65
2015-08-21,57
2017-03-18,96
2021-01-29,21
2020-01-21,25
2018-10-17,49
2015-10-21,17
2015-10-05,2
2016-01-29,61
2020-10-31,26
2019-08-15,26
2017-08-28,61
2018-06-12,16
2015-10-27,2
2019-12-12,1
2015-09-21,113
2016-05-16,17
2021-06-21,10
2018-05-02,94
2015-10-22,21
2015-12-08,15
2018-01-18,37
2019-02-18,155
2017-11-30,21
2018-06-25,164
2019-07-15,70
2019-04-20,3
2019-07-10,38
2019-05-22,2
2019-11-04,101
2019-05-22,26
2020-02-17,182
2018-04-27,2
2021-01-09,54
2018-07-30,187
2017-11-09,11
2017-02-28,58
2019-01-21,145
2018-10-09,98
2015-04-16,32
2018-02-25,21
2019-05-05,18
2017-09-22,69
2016-09-15,19
2015-01-12,21
2016-02-09,9
2018-06-24,113
2018-03-17,98
2018-08-28,9
2019-08-17,119
2020-07-25,35
2018-08-31,117
2015-03-24,68
2019-10-18,3
2015-08-23,1
2020-02-27,4
2018-05-31,61
2021-01-29,29
2015-08-05,10
2019-12-16,45
2018-02-06,1
2020-03-15,41
2017-10-02,6
2019-04-28,48
2016-09-11,110
2020-01-03,72
2016-01-26,10
2018-02-20,14
2016-02-02,70
2015-01-20,54
2017-11-11,2
2019-09-05,26
2017-04-15,10
2019-03-29,29
2017-01-03,47
2017-01-26,97
2019-01-29,113
2017-03-16,37
2021-04-17,65
2020-02-29,127
2018-04-10,5
2016-10-18,98
2017-09-17,13
2017-12-13,106
2018-04-24,44
2020-08-30,189
2015-09-13,100
2016-01-07,3
2017-11-30,4
2018-03-18,30
2015-02-20,49
2015-11-28,17
2020-04-30,5
2018-12-15,4
2019-09-10,1
2015-06-14,8
2019-07-18,44
2017-11-05,50
2017-04-18,15
2020-09-05,112
2018-02-20,47
2017-04-06,40
2017-02-28,39
2019-05-27,36
2017-04-10,17
2017-03-25,64
2019-06-21,16
2018-12-13,14
2017-04-27,49
2019-07-30,62
2016-12-07,96
2020-03-14,80
2016-11-11,93
2017-02-14,21
2018-05-06,10
2016-12-30,33
2016-01-30,55
2020-03-16,25
2019-10-27,50
2017-04-17,19
2020-05-15,160
2015-03-17,77
2020-07-18,102
2015-12-26,62
2018-02-05,37
2015-07-30,5
2017-12-16,167
2017-11-02,118
2015-07-07,46
2016-11-07,62
2020-05-26,32
2015-01-05,92
2015-01-29,22
2015-05-18,1
2019-09-30,5
2015-10-28,6
2019-10-04,72
2019-11-06,52
2019-07-03,8
2020-07-28,41
2020-10-18,20
2016-12-13,63
2015-09-17,102
2020-04-09,102
2020-01-02,4
2019-11-23,9
2018-08-12,80
2015-06-17,12
2020-08-08,162
2018-03-13,117
2020-04-21,14
2017-03-23,63
2019-05-27,81
2019-02-07,88
2015-06-25,57
2018-11-04,90
2018-03-12,87
2015-01-11,2
2015-05-25,11
2019-11-07,33
2015-09-25,1
2018-02-25,13
2019-07-18,112
2018-05-13,70
2015-12-24,23
2018-11-04,31
2018-12-27,85
2017-07-18,139
2017-06-28,5
2020-06-22,25
2015-06-10,29
2017-04-09,52
2017-04-15,3
2015-05-18,104
2019-07-22,66
2017-03-19,15
2020-10-18,57
2018-02-27,59
2017-07-28,12
2020-05-21,43
2018-08-01,63
2017-12-02,19
2018-06-20,51
2015-03-30,61
2015-01-18,118
2015-07-23,41
2017-12-15,88
2020-12-30,96
2020-11-08,4
2019-10-18,21
2015-05-10,157
2021-01-26,113
2020-11-15,67
2019-06-22,78
2018-02-09,61
2016-01-13,12
2016-12-10,5
2018-11-01,75
2016-05-28,157
2015-02-27,7
2020-05-14,50
2019-03-28,95
2018-09-20,47
2020-09-24,31
2018-02-12,11
2016-08-25,13
2018-08-24,180
2021-01-19,49
2018-03-06,5
2020-06-12,88
2019-04-24,58
2015-04-19,104
2020-05-17,65
2015-06-30,34
2020-01-19,8
2017-06-10,40
2018-07-08,79
2020-11-11,44
2016-12-19,10
2017-09-29,3
2021-06-19,62
2020-06-02,15
2021-05-17,16
2015-10-27,80
2020-03-25,5
2018-06-28,38
2019-12-06,3
2016-07-15,29
2021-06-07,43
2019-04-20,5
2017-03-28,28
2019-09-23,81
2018-02-25,104
2017-04-18,11
2016-07-13,57
2019-06-22,85
2019-11-12,70
2017-12-24,30
2020-04-24,22
2018-07-27,26
2019-12-10,34
2019-09-17,4
2016-04-27,76
2016-06-16,32
2018-03-14,8
2019-01-24,56
2019-09-06,29
2018-12-30,36
2017-03-09,10
2018-10-14,103
2016-10-22,7
2016-08-23,2
2019-11-20,126
2016-07-11,3
2015-03-26,17
2016-12-06,124
2020-11-27,2
2015-12-26,88
2019-05-07,6
2020-06-23,42
2020-12-20,1
2020-07-24,1
2019-12-18,1
2018-07-06,20
2016-03-22,13
2019-11-04,64
2015-12-08,90
2020-09-20,87
2019-08-16,43
2020-07-05,88
2020-05-31,86
2018-05-02,142
2019-05-09,159
2017-11-07,25
2018-11-19,35
2019-06-29,178
2016-04-15,173
2015-07-25,59
2017-07-05,6
2015-02-25,1
2020-04-11,15
2017-02-04,44
2015-05-01,51
2015-05-09,81
2017-08-09,2
2018-01-10,66
2017-10-01,23
2021-04-27,178
2016-06-02,36
2015-11-22,12
2019-03-08,2
2017-09-20,85
2017-03-21,30
2021-05-10,10
2019-03-28,40
2016-04-17,18
2015-01-10,1
2020-10-01,68
2017-05-10,6
2016-12-16,106
2015-02-08,147
2015-03-30,87
2015-04-18,1
2020-11-22,48
2019-09-01,34
2020-10-13,13
2018-02-25,58
2017-12-20,9
2015-11-29,11
2016-10-12,101
2020-10-31,56
2020-07-27,10
2020-06-29,24
2018-04-10,1
2017-03-06,18
2020-02-29,25
2019-09-23,52
2018-01-24,115
2017-12-30,82
2015-07-18,126
2015-05-07,117
2019-11-10,38
2016-09-01,29
2016-07-06,28
2017-11-25,25
2015-02-15,132
2018-08-20,17
2019-01-14,11
2021-04-12,9
2016-12-14,45
2016-10-11,50
2017-10-26,109
2020-06-24,41
2016-06-15,3
